customerid,churn_probability,actual_churn,tenure,contract,internetservice,monthlycharges,paymentmethod,risk_tier,intervention
6023-YEBUP,0.9292579581602056,1,3,Month-to-month,Fiber optic,100.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4822-RVYBB,0.9290285156193706,1,8,Month-to-month,Fiber optic,100.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9057-SIHCH,0.9282349361607083,1,3,Month-to-month,Fiber optic,96.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4826-XTSOH,0.9273868693706551,1,1,Month-to-month,Fiber optic,86.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0781-LKXBR,0.926952726880651,1,9,Month-to-month,Fiber optic,100.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2545-EBUPK,0.9264729680932445,0,2,Month-to-month,Fiber optic,84.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1069-XAIEM,0.926450256008969,1,1,Month-to-month,Fiber optic,85.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2012-NWRPA,0.926276146065698,1,11,Month-to-month,Fiber optic,99.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1415-YFWLT,0.9259990514934269,1,1,Month-to-month,Fiber optic,89.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3068-OMWZA,0.9259931262701339,1,1,Month-to-month,Fiber optic,88.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5192-EBGOV,0.9250976866886539,1,1,Month-to-month,Fiber optic,85.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4695-WJZUE,0.9249758619508746,1,2,Month-to-month,Fiber optic,88.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2656-TABEH,0.924634065317077,1,4,Month-to-month,Fiber optic,100.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2660-EMUBI,0.9245851929534467,1,10,Month-to-month,Fiber optic,95.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9681-OXGVC,0.9243388411835792,1,5,Month-to-month,Fiber optic,100.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3988-RQIXO,0.9242611372137,1,1,Month-to-month,Fiber optic,91.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5277-ZLOOR,0.9242568248814964,1,2,Month-to-month,Fiber optic,85.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3389-YGYAI,0.9227005369046042,1,8,Month-to-month,Fiber optic,105.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8161-QYMTT,0.9224385682433548,0,7,Month-to-month,Fiber optic,94.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6630-UJZMY,0.9222629148989725,0,4,Month-to-month,Fiber optic,83.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8775-LHDJH,0.9218159841105033,1,1,Month-to-month,Fiber optic,90.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9061-TIHDA,0.92139580277993,1,13,Month-to-month,Fiber optic,95.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4626-GYCZP,0.9212310611317562,1,7,Month-to-month,Fiber optic,93.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7450-NWRTR,0.9210361918783776,1,12,Month-to-month,Fiber optic,99.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4750-ZRXIU,0.9209689509885537,1,4,Month-to-month,Fiber optic,84.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1273-MTETI,0.9206798581654837,1,4,Month-to-month,Fiber optic,88.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6350-XFYGW,0.9197283502394387,0,4,Month-to-month,Fiber optic,94.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3793-MMFUH,0.9195277079720101,1,13,Month-to-month,Fiber optic,95.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6521-YYTYI,0.9194830897827245,1,1,Month-to-month,Fiber optic,93.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2865-TCHJW,0.9183882442192152,1,4,Month-to-month,Fiber optic,89.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9305-CDSKC,0.9183051771799975,1,8,Month-to-month,Fiber optic,99.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1455-UGQVH,0.9178508505360249,1,10,Month-to-month,Fiber optic,98.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1724-BQUHA,0.9176176258121026,1,5,Month-to-month,Fiber optic,89.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0196-VULGZ,0.9175844492264882,1,6,Month-to-month,Fiber optic,84.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0107-YHINA,0.9173071705716644,1,1,Month-to-month,Fiber optic,99.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8972-HJWNV,0.9171423248991178,1,7,Month-to-month,Fiber optic,84.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7943-RQCHR,0.9168285769312695,1,9,Month-to-month,Fiber optic,94.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3902-FOIGH,0.9164473904841172,1,12,Month-to-month,Fiber optic,101.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4587-VVTOX,0.9160182272854238,1,6,Month-to-month,Fiber optic,105.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9134-CEQMF,0.9158506184174765,1,7,Month-to-month,Fiber optic,89.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2982-VPSGI,0.9155768504256823,1,11,Month-to-month,Fiber optic,94.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2725-KXXWT,0.9152813738314477,1,1,Month-to-month,Fiber optic,90.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4847-TAJYI,0.9152030082941794,0,6,Month-to-month,Fiber optic,89.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3320-VEOYC,0.9151387887767504,0,14,Month-to-month,Fiber optic,95.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3319-DWOEP,0.9150256049084403,1,6,Month-to-month,Fiber optic,95.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2265-CYWIV,0.9150107884846985,1,4,Month-to-month,Fiber optic,99.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1075-BGWOH,0.914976136864808,1,16,Month-to-month,Fiber optic,98.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7668-XCFYV,0.9148523786846916,0,17,Month-to-month,Fiber optic,92.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0564-JJHGS,0.9148435037718872,1,9,Month-to-month,Fiber optic,95.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0187-QSXOE,0.9147026520280022,0,7,Month-to-month,Fiber optic,89.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3722-WPXTK,0.9146752816477056,1,1,Month-to-month,Fiber optic,88.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8414-MYSHR,0.914531250080288,1,5,Month-to-month,Fiber optic,91.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9282-IZGQK,0.9143086709571135,1,1,Month-to-month,Fiber optic,85.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1875-QIVME,0.9142632596571517,1,2,Month-to-month,Fiber optic,104.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1455-ESIQH,0.9139380498612798,1,1,Month-to-month,Fiber optic,89.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4912-PIGUY,0.9137972069610942,0,1,Month-to-month,Fiber optic,84.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7577-SWIFR,0.9137899127646634,0,1,Month-to-month,Fiber optic,89.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3811-VBYBZ,0.9137603784031808,1,7,Month-to-month,Fiber optic,99.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0970-ETWGE,0.9134929456175718,1,1,Month-to-month,Fiber optic,89.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3027-ZTDHO,0.9131453137014205,1,1,Month-to-month,Fiber optic,89.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0897-FEGMU,0.9129559719573419,1,11,Month-to-month,Fiber optic,99.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2968-SSGAA,0.912899718916182,1,10,Month-to-month,Fiber optic,100.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8603-IJWDN,0.9127227983363584,1,1,Month-to-month,Fiber optic,86.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1624-NALOJ,0.9127161389429058,1,5,Month-to-month,Fiber optic,89.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5383-MMTWC,0.9126332160261686,1,8,Month-to-month,Fiber optic,84.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7274-RTAPZ,0.9124963564554832,1,1,Month-to-month,Fiber optic,90.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3621-CEOVK,0.9121666487737919,1,14,Month-to-month,Fiber optic,100.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3489-HHPFY,0.9118853212955693,0,2,Month-to-month,Fiber optic,84.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7225-CBZPL,0.9117136433038566,0,17,Month-to-month,Fiber optic,94.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0259-GBZSH,0.911095219793053,1,2,Month-to-month,Fiber optic,85.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1143-NMNQJ,0.9109373986284125,1,2,Month-to-month,Fiber optic,85.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4115-NZRKS,0.9107372616662132,0,7,Month-to-month,Fiber optic,89.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4927-WWOOZ,0.9105630690076475,0,2,Month-to-month,Fiber optic,91.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2205-YMZZJ,0.9105157002333268,1,7,Month-to-month,Fiber optic,84.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8245-UMPYT,0.9105129306825492,1,16,Month-to-month,Fiber optic,96.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4145-UQXUQ,0.9104699012003786,1,8,Month-to-month,Fiber optic,92.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5565-FILXA,0.9102357928323798,1,16,Month-to-month,Fiber optic,96.15,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6474-FVJLC,0.9101919625455687,1,2,Month-to-month,Fiber optic,86.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5935-FCCNB,0.9098119867604338,0,17,Month-to-month,Fiber optic,94.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9221-OTIVJ,0.9097871123886535,1,14,Month-to-month,Fiber optic,104.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4078-SAYYN,0.9095686734863543,1,11,Month-to-month,Fiber optic,100.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9546-CQJSU,0.9094948108398729,1,2,Month-to-month,Fiber optic,91.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8593-WHYHV,0.9094220283791421,1,3,Month-to-month,Fiber optic,85.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0754-UKWQP,0.9092632527383668,1,2,Month-to-month,Fiber optic,95.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6513-EECDB,0.9092123403046446,1,1,Month-to-month,Fiber optic,73.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9965-YOKZB,0.9091238017720984,1,9,Month-to-month,Fiber optic,83.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3606-TWKGI,0.909120581874117,1,13,Month-to-month,Fiber optic,106.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7398-SKNQZ,0.9090500924954253,0,3,Month-to-month,Fiber optic,94.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2034-GDRCN,0.9089522535569797,1,2,Month-to-month,Fiber optic,90.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4102-OQUPX,0.9083282174677759,1,1,Month-to-month,Fiber optic,74.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6108-OQZDQ,0.9082789677367838,1,4,Month-to-month,Fiber optic,97.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0723-DRCLG,0.9082759699044207,1,1,Month-to-month,Fiber optic,74.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8058-JMEQO,0.9078330206636118,1,9,Month-to-month,Fiber optic,84.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5519-NPHVG,0.9078245236941825,1,12,Month-to-month,Fiber optic,94.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7228-OMTPN,0.9076062481054155,1,4,Month-to-month,Fiber optic,88.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0021-IKXGC,0.9075722103159084,0,1,Month-to-month,Fiber optic,72.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8337-UPOAQ,0.9073185396156724,1,10,Month-to-month,Fiber optic,89.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7526-BEZQB,0.9070915304005154,1,12,Month-to-month,Fiber optic,96.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2642-DTVCO,0.9067643827492826,1,9,Month-to-month,Fiber optic,85.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9611-CTWIH,0.9067461003600188,1,3,Month-to-month,Fiber optic,89.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3452-GWUIN,0.9063985802320997,0,19,Month-to-month,Fiber optic,94.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4192-GORJT,0.9063270930702492,1,5,Month-to-month,Fiber optic,94.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1658-BYGOY,0.906124269909184,1,18,Month-to-month,Fiber optic,95.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8473-VUVJN,0.90592797560297,1,1,Month-to-month,Fiber optic,73.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7779-LGOVN,0.9057884910603522,1,10,Month-to-month,Fiber optic,86.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0697-ZMSWS,0.9056784538213232,1,4,Month-to-month,Fiber optic,85.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1833-VGRUM,0.9053382640792703,1,1,Month-to-month,Fiber optic,74.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6969-MVBAI,0.905318339408974,0,9,Month-to-month,Fiber optic,90.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6688-UZPWD,0.9051855295282016,1,11,Month-to-month,Fiber optic,102.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3318-NMQXL,0.9051770045388022,0,3,Month-to-month,Fiber optic,92.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4713-LZDRV,0.905147462400247,1,2,Month-to-month,Fiber optic,79.6,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3551-HUAZH,0.9051230040690893,1,1,Month-to-month,Fiber optic,74.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3643-AHCFP,0.9050767657146052,1,7,Month-to-month,Fiber optic,95.6,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
5240-IJOQT,0.9047992924395918,1,1,Month-to-month,Fiber optic,74.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1626-ERCMM,0.904620901171333,1,20,Month-to-month,Fiber optic,94.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3727-RJMEO,0.904529778508901,1,6,Month-to-month,Fiber optic,82.85,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4548-SDBKE,0.9044435478899872,1,5,Month-to-month,Fiber optic,85.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4988-IQIGL,0.9040945252027798,1,1,Month-to-month,Fiber optic,75.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8739-XNIKG,0.9040859872469396,0,5,Month-to-month,Fiber optic,84.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8580-AECUZ,0.9040659015134401,1,1,Month-to-month,Fiber optic,79.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7234-FECYN,0.9040516117668135,1,8,Month-to-month,Fiber optic,101.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6567-HOOPW,0.9039570336846265,1,1,Month-to-month,Fiber optic,79.2,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7488-MXJIV,0.9038761118811603,1,4,Month-to-month,Fiber optic,85.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6894-LFHLY,0.9036585073867801,1,1,Month-to-month,Fiber optic,75.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5380-AFSSK,0.9034491164127061,1,5,Month-to-month,Fiber optic,93.9,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6230-BSUXY,0.9031421103779422,1,1,Month-to-month,Fiber optic,85.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9248-OJYKK,0.9028912137781759,1,1,Month-to-month,Fiber optic,76.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0236-HFWSV,0.902427517018891,1,15,Month-to-month,Fiber optic,93.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9944-HKVVB,0.9017734106836806,1,3,Month-to-month,Fiber optic,95.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1304-NECVQ,0.9016179195604759,1,2,Month-to-month,Fiber optic,78.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2990-HWIML,0.9013276790389488,1,6,Month-to-month,Fiber optic,89.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0680-DFNNY,0.9010366356603581,1,15,Month-to-month,Fiber optic,101.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8382-SHQEH,0.9009310151082857,1,8,Month-to-month,Fiber optic,84.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1564-NTYXF,0.9003235983784817,1,13,Month-to-month,Fiber optic,82.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4951-UKAAQ,0.9001956438769261,1,4,Month-to-month,Fiber optic,88.95,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6683-VLCTZ,0.9001198388493824,1,20,Month-to-month,Fiber optic,98.55,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0916-QOFDP,0.8999289505590747,0,14,Month-to-month,Fiber optic,95.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6892-EZDTG,0.8994901203850724,1,4,Month-to-month,Fiber optic,91.65,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4228-ZGYUW,0.8993684776077947,1,4,Month-to-month,Fiber optic,90.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4086-YQSNZ,0.8992454141948661,1,3,Month-to-month,Fiber optic,80.4,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0702-PGIBZ,0.8992413115163377,1,4,Month-to-month,Fiber optic,101.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3097-NQYSN,0.8990224901907979,1,2,Month-to-month,Fiber optic,86.85,Mailed check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
6161-UUUTA,0.898901481421063,1,3,Month-to-month,Fiber optic,79.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2462-XIIJB,0.8986561221538666,1,5,Month-to-month,Fiber optic,92.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4094-NSEDU,0.898644098779049,1,21,Month-to-month,Fiber optic,94.25,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1925-TIBLE,0.898189672194971,1,7,Month-to-month,Fiber optic,86.5,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
7576-OYWBN,0.8978832327084683,1,3,Month-to-month,Fiber optic,76.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2027-FECZV,0.8975273470939332,1,12,Month-to-month,Fiber optic,106.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
0722-TROQR,0.8971547537108022,1,4,Month-to-month,Fiber optic,74.9,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8258-GSTJK,0.8969933275733181,1,3,Month-to-month,Fiber optic,77.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1941-HOSAM,0.896610277140027,0,1,Month-to-month,Fiber optic,90.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
9451-LPGOO,0.8964376639581306,1,7,Month-to-month,Fiber optic,86.8,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5299-SJCZT,0.8964015831557455,1,3,Month-to-month,Fiber optic,101.55,Bank transfer (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
1197-BVMVG,0.8963922390637836,0,4,Month-to-month,Fiber optic,74.45,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3178-FESZO,0.8962101742222891,1,1,Month-to-month,Fiber optic,100.25,Credit card (automatic),High Risk,Personal phone outreach — contract upgrade + autopay incentive
5956-VKDTT,0.8957523925679204,1,5,Month-to-month,Fiber optic,74.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8931-GJJIQ,0.8954493458136823,1,9,Month-to-month,Fiber optic,83.3,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
2672-HUYVI,0.8952642404664348,1,6,Month-to-month,Fiber optic,91.1,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
4844-JJWUY,0.895232688311965,1,1,Month-to-month,Fiber optic,86.0,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8357-EQXFO,0.895067961299127,1,7,Month-to-month,Fiber optic,95.35,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
5955-ERIHD,0.8948929109413777,1,18,Month-to-month,Fiber optic,94.7,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
3096-GKWEB,0.89486861267064,0,18,Month-to-month,Fiber optic,94.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
8622-ZLFKO,0.8947141707177197,0,6,Month-to-month,Fiber optic,90.75,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
1389-CXMLU,0.8946731363315509,1,3,Month-to-month,Fiber optic,91.05,Electronic check,High Risk,Personal phone outreach — contract upgrade + autopay incentive
