seniorcitizen,tenure,monthlycharges,avg_monthly_spend,partner_Yes,dependents_Yes,multiplelines_No phone service,multiplelines_Yes,internetservice_Fiber optic,internetservice_No,onlinesecurity_No internet service,onlinesecurity_Yes,onlinebackup_No internet service,onlinebackup_Yes,deviceprotection_No internet service,deviceprotection_Yes,techsupport_No internet service,techsupport_Yes,streamingtv_No internet service,streamingtv_Yes,streamingmovies_No internet service,streamingmovies_Yes,contract_One year,contract_Two year,paperlessbilling_Yes,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check
0,-0.2594354906780068,-1.288281285047711,-1.2738085687034648,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,-0.055833672077855064,0.6643301901474837,0.6472951096355964,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
1,-0.1779947632379461,-0.9592454790148186,-0.9934423203768149,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.6666391278783103,-1.5225946620711341,-1.468743082674311,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,-1.0738427650786138,-1.4827115340671475,-1.424850964986104,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
1,-0.21871512695797646,0.7025515211513048,0.578482210896176,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
0,1.0436161483629645,-1.3115464430500368,-1.303283791922541,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
0,-0.3408762181180675,-1.3348116010523623,-1.3273359299335314,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,-0.1779947632379461,-0.9642308700153169,-1.0079350007455625,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True
0,0.3106496014024181,0.6743009721484804,0.6336479469326013,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False
0,-1.2774445836787656,-1.4710789550659844,-1.4662586231825256,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-1.1145631287986442,0.5064594751317021,0.5875612233599842,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0,-1.2774445836787656,0.14751132309581955,0.14698374015005872,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.9109613101984924,-1.4876969250676457,-1.4871280829135223,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
0,-1.1145631287986442,1.0415581091851935,0.8585329385973667,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
0,1.4508197855632678,-1.3547531650543558,-1.3345822701179053,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,0.06632741908223598,0.4499583771260538,0.3530477332922507,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,-0.0965540357978854,-1.4993295040688086,-1.4211518808538905,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,-1.0331224013585834,-0.5022513039691348,-0.6993887933847983,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
0,0.7992939660427822,-1.3364733980525287,-1.2974109338754252,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
1,0.5549717837226001,1.503537675231376,1.36516103762948,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False
0,-0.9516816739185228,0.19071804510013865,0.05533479000864569,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.5444780367182193,0.7341256641544608,0.5821564342901354,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.62591876415828,0.46989994112804756,0.4832139247050021,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0.5142514200025698,1.1279715531938321,1.1862607506693117,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False
0,-0.8702409464784621,-1.4694171580658184,-1.5883735715363363,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
0,0.22920887396235737,1.0083221691818711,1.0724231073357666,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False
0,-1.2774445836787656,-1.5142856770703037,-1.509322587706804,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-0.9109613101984924,1.1213243651931677,1.2923195658630795,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-0.7888002190384014,-0.6634456129852487,-0.7204111429306737,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.5851984004382496,0.572931355138347,0.47796895466678824,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False
0,0.18848851024232702,-0.6435040489832552,-0.7190406441396405,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
0,-1.1552834925186746,-1.5209328650709681,-1.491931371264307,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-0.8702409464784621,0.3386179781149237,0.31050634670029087,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.2879383306831464,1.1429277261953275,1.0488425356681204,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False
0,-0.7073594915983407,0.6510358141461546,0.7314390330398169,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
1,0.18848851024232702,0.9219087251732329,0.9643932954653646,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,0.7992939660427822,0.8205391081630994,0.7708697409910655,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False
1,-0.5037576729981889,0.9900424021800438,1.00105809810945,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,0.880734693482843,1.4885815022298807,1.6083060064108827,True,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0,0.47353105628253944,-0.10840541492976351,-0.09589099683477045,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True
0,1.4915401492832983,0.07106866108817798,0.052454257264546486,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True
0,-0.8702409464784621,0.85876043916692,0.9269534472681087,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
0,-1.1145631287986442,-1.5093002860698053,-1.3102345670984092,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-1.1552834925186746,-0.31779183695069496,-0.3180242613957555,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-1.1552834925186746,1.2276793732037996,0.8736881414972573,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,1.125056875803025,1.2093996062019723,1.2044801202757365,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False
0,-0.5444780367182193,1.2808568772091153,1.3637586730040634,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,-0.8702409464784621,1.2376501552047963,1.3038384235068106,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
1,-0.055833672077855064,1.1695164781979852,1.259861304760723,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,-0.0965540357978854,0.6493740171459885,0.5473681898039907,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
0,-1.2774445836787656,-0.6601220189849164,-0.6579811351883768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-1.1145631287986442,0.8172155141627669,0.9135223086822148,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False
0,0.3106496014024181,0.5064594751317021,0.4788661205943775,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,1.5729808767233588,0.8155537171626008,0.835377309568765,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,1.1657772395230555,-1.3215172250510334,-1.3316633696220919,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
1,-0.9924020376385531,0.3236618051134285,0.36623729030011065,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.9109613101984924,-0.32610082195152557,-0.2609645084010865,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
0,-1.2367242199587352,-1.1470285400335904,-1.0894489335950894,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,1.369379058123207,-0.030300955921955676,-0.0048945310043309685,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0,-0.1779947632379461,0.8537750481664219,0.8232891060924699,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False
0,-1.1552834925186746,-0.27458511494637583,-0.1983561292080973,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,-1.1552834925186746,0.8039211381614382,0.7962558206699487,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0,0.9621754209229036,-1.502653098069141,-1.5061578595446492,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
1,0.5142514200025698,0.6959043331506402,0.6358517545188331,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,1.3286586944031769,1.503537675231376,1.492745372351666,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False
0,-0.748079855318371,0.5363718211346925,0.5823556891867196,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
0,1.1657772395230555,-0.467353566965646,-0.467994653614369,True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False
0,1.4508197855632678,0.5180920541328647,0.47315429950787113,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
1,1.5729808767233588,1.1445895231954935,1.220340225375722,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False
0,0.26992923768238775,-0.6551366279844181,-0.6244303147010198,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
0,1.4915401492832983,-1.3397969920528607,-1.3204556574520532,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
0,-1.2774445836787656,0.5247392421335293,0.5229652765735664,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,1.6137012404433893,0.4748853321285456,0.4912654137987503,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1.1657772395230555,-0.5005895069689685,-0.5371522309430808,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1,1.2879383306831464,0.5164302571326987,0.45179586404846683,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1,-0.015113308357824713,0.9451738831755587,0.888801936738951,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,-1.2774445836787656,0.4915033021302069,0.48983915001642914,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,-1.1960038562387048,0.5829021371393436,0.22206962701290314,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,-1.1960038562387048,-1.481049737066981,-1.586616883006791,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,1.6137012404433893,0.6526976111463211,0.6595415358580969,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,-0.2594354906780068,-1.1619847130350858,-1.1432788892504375,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,0.26992923768238775,1.1861344481996465,1.0837736114286913,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False
0,-1.2774445836787656,-0.44907379996381874,-0.4476302315505551,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,-0.13727439951791576,-0.9675544640156493,-0.9743356438090374,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,-0.9516816739185228,-1.479387940066815,-1.5109788940346611,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
1,0.43281069256250915,1.422109622223236,1.3474591590799883,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False
0,-1.2774445836787656,-1.3082228490497045,-1.303940603052553,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-0.13727439951791576,0.20401242110146783,0.09877951460829335,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False
0,-1.2367242199587352,0.572931355138347,0.9130254167838577,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.35136996512244845,0.5147684601325326,0.6332106416643317,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,1.2879383306831464,1.1811490571991479,1.27275444736527,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False
0,-0.5444780367182193,-1.3248408190513656,-1.3299184601947291,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,1.369379058123207,-0.2662761299455452,-0.28405743389947885,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False
0,-1.1552834925186746,-1.1869116680375775,-1.0720577171525925,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-1.2774445836787656,-1.3215172250510334,-1.3171910536754081,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
1,0.8400143297628127,1.2991366442109427,1.2832098810598664,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-0.38159658183809786,-1.504314895069307,-1.46813096946619,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,0.7178532386027215,1.4553455622265583,1.5718709478787605,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False
0,-1.2367242199587352,0.3386179781149237,0.3681006349189498,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.0843365120829946,-1.4760643460664828,-1.433974686283621,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,1.247217966963116,0.6227852651433307,0.7124414623650649,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False
0,0.7178532386027215,-0.6634456129852487,-0.6673558290040466,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
0,-0.748079855318371,0.5214156481331973,0.3911706159140989,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,1.3286586944031769,0.07605405208867606,0.050943454770173875,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1,1.4915401492832983,-0.2729233179462098,-0.24772125911009207,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
0,-0.46303730927815856,0.3087056321119333,0.324445132420437,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0.43281069256250915,0.8803638001690798,0.9467871027458705,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False
0,1.5322605130033284,1.6049072922415093,1.5785292993167452,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,0.5956921474426305,0.7374492581547932,0.7717988719139347,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False
0,1.4915401492832983,1.3489905542159264,1.3308106846561003,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,-0.9516816739185228,0.6161380771426661,0.8113466116570888,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0,1.0436161483629645,1.2791950802089493,1.291577083716109,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False
0,-1.2774445836787656,-1.491020519067978,-1.486134299116808,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,0.5956921474426305,1.6182016682428386,1.6027007995354055,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False
0,1.0436161483629645,0.6493740171459885,0.6626090342152913,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
0,-0.8295205827584317,-1.5076384890696393,-1.598487078356432,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,1.4100994218432374,-1.5126238800701375,-1.4665552750621416,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,1.5729808767233588,0.8803638001690798,0.9291335790287191,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
1,0.06632741908223598,1.1661928841976528,1.1118796059106728,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False
0,-1.1960038562387048,-1.517609271070636,-1.5595638796517954,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,0.06632741908223598,-1.461108173064988,-1.5257882212013811,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
1,-0.9924020376385531,0.9086143491719036,0.8772077924439532,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-0.7073594915983407,0.33695618111475767,0.2999160244221755,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,1.5729808767233588,1.0930738161903437,0.9749736062715182,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False
1,1.5729808767233588,-1.3065610520495383,-1.310355874040731,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,-0.62591876415828,-1.4827115340671475,-1.456223355431393,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,0.5956921474426305,-1.2583689390447208,-1.2637311239018154,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,-0.748079855318371,0.827186296163764,0.7137954270616463,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False
0,1.5729808767233588,-1.4577845790646555,-1.4486691165458485,True,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,-0.748079855318371,1.1894580421999785,1.2040621001072775,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,0.758573602322752,1.0515288911861906,1.044539386875159,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False
0,-0.7073594915983407,0.1574821050968162,0.2207445819506179,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True
0,1.002895784642934,1.0897502221900113,1.1079901063760618,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False
0,1.125056875803025,-0.11172900893009581,-0.13665871849542902,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,1.4915401492832983,0.8371570781647607,0.803913236881345,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,1.4508197855632678,-0.29452667894836937,-0.27040545446987074,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,-1.2367242199587352,0.5114448661322006,1.0769997432416873,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1,0.10704778280226633,1.1396041321949948,1.0686472270454948,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,0.43281069256250915,-0.28621769394753876,-0.2199458895979523,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,-0.055833672077855064,0.05445069108651675,0.012983215302800232,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False
0,0.025607055362205634,-0.20977503193989694,-0.1824706457909245,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True
0,-1.2774445836787656,0.15249671409631763,0.15195265913362904,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.47353105628253944,1.1745018691984834,1.1509688781107494,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0.43281069256250915,0.6676537841478158,0.6631350144124297,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,1.5322605130033284,0.006258578081699082,0.008563854179163704,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,-1.2774445836787656,-1.4694171580658184,-1.464602316854669,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
0,0.5956921474426305,-1.5109620830699715,-1.51770984102659,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
1,-0.13727439951791576,0.9867188081797118,0.8858677044081357,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,0.758573602322752,0.6892571451499756,0.7268533378732799,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
1,-1.1552834925186746,0.3386179781149237,0.41116459944322814,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.5322605130033284,-0.8213163280010305,-0.8204174629131961,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True
0,-0.62591876415828,-1.0090993890198023,-0.9903141283836566,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,-1.2367242199587352,-0.62854787598176,-0.39628473538699244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,-0.9109613101984924,0.8321716871642622,0.8833775335152195,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
0,-0.4223169455581282,1.0349109211845293,1.2198938073449743,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0,1.4915401492832983,-1.3564149620545218,-1.3229041102845376,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
